KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
integrate_empire_title_title;Centralize the Holy Roman Empire: Integrate the Empire Title;Centraliser le Saint Empire Romain: Intégrer le titre impérial;Zentralisierung des Heiligen Römischen Reiches: Integrieren Sie den kaiserlichen Titel;Centralizacja Œwiête Cesarstwo Rzymskie: Zintegruj tytuł imperialny;Centralizar el Sacro Imperio Romano: Integra el título imperial;Centralizzare il Sacro Romano Impero: Integra il titolo imperiale;Centralizálja a Szent Római Birodalom: Integrálja a császári címet;Centralizujte Svatou øímskou øíši: Integrujte císařský titul;Centralizálja a Szent Római Birodalom: Integrálja a császári címet;Centraliseren van het Heilige Roomse Rijk: Integreer de keizerlijke titel;Centralize o Sacro Império Romano: Integre o título imperial;Öåíòðàëèçîâàòü Ñâÿòóþ Ðèìñêóþ èìïåðèþ: Èíòåãðèðîâàòü èìïåðñêèé òèòóë;Keskitä Pyhän roomalaisen keisarikunnan: Integroi keisarillinen otsikko;x
integrate_empire_title_desc;In order to centralize the Holy Roman Empire, first we need to establish our authority over the Imperial crown;Afin de centraliser l'Empire, nous devons d'abord établir notre autorité sur la couronne impériale;Um das Imperium zu zentralisieren, müssen wir zuerst unsere Autorität über die Kaiserkrone etablieren;Aby scentralizować Imperium, najpierw musimy ustanowić naszą władzę nad cesarską koroną;Para centralizar el Imperio, primero debemos establecer nuestra autoridad sobre la corona imperial;Per centralizzare l'Impero, prima dobbiamo stabilire la nostra autorità sulla corona imperiale;A Birodalom központosítása érdekében először meg kell állapítanunk a birodalmi korona felett fennálló tekintélyünket;Abychom mohli říši centralizovat, musíme nejprve ustanovit naši autoritu nad imperiální korunou;A Birodalom központosítása érdekében először meg kell állapítanunk a birodalmi korona felett fennálló tekintélyünket;Om het rijk te centraliseren, moeten we eerst onze autoriteit over de keizerlijke kroon vestigen;Para centralizar o Império, primeiro precisamos estabelecer nossa autoridade sobre a coroa imperial;×òîáû öåíòðàëèçîâàòü Èìïåðèþ, ñíà÷àëà íàì íóæíî óñòàíîâèòü ñâîþ âëàñòü íàä Èìïåðàòîðñêîé êîðîíîé;Imperiumin keskittämiseksi meidän on ensin luotava valtaamme keisarilliseen kruunuun;x
centralize_hre_title;Centralize the Holy Roman Empire;Centraliser le Saint Empire Romain;Zentralisierung des Heiligen Römischen Reiches;Centralizacja Œwiête Cesarstwo Rzymskie;Centralizar el Sacro Imperio Romano;Centralizzare il Sacro Romano Impero;Centralizálja a Szent Római Birodalom;Centralizujte Svatou øímskou øíši;Centralizálja a Szent Római Birodalom;Centraliseren van het Heilige Roomse Rijk;Centralize o Sacro Império Romano;Öåíòðàëèçîâàòü Ñâÿòóþ Ðèìñêóþ èìïåðèþ;Keskitä Pyhän roomalaisen keisarikunnan;x
centralize_hre_desc;As the Holy Roman Emperor, we are prestigious enough to attempt to centralize the Empire under ourselves.;En tant que Saint Empereur Romain, nous sommes assez prestigieux pour essayer de centraliser l'Empire sous nos mains.;Als der Heilige Römische Kaiser sind wir prestigevoll genug, um zu versuchen, das Reich unter uns zu zentralisieren.;Jako cesarz rzymski, jesteœmy na tyle presti¿owa próba scentralizowania Imperium pod siebie.;Como el emperador romano santo, somos bastante prestigiosos para intentar centralizar el imperio debajo de nosotros mismos.;Come Sacro Romano Imperatore, siamo abbastanza prestigiosi per tentare di centralizzare l'Impero sotto il nostro dominio.;Mivel a római császár, mi tekintélyes elég próbálja központosítani a Birodalom magunkat.;Jako svatý øímský císaø jsme dostatecnì prestižní, abychom se pokusili centralizovat Øíši pod sebou.;Mivel a római császár, mi tekintélyes elég próbálja központosítani a Birodalom magunkat.;Zoals het Heilige Roomse keizer, we zijn prestigieus genoeg om te proberen om het rijk te centraliseren onder onszelf.;Como o Santo Imperador Romano, somos suficientemente prestigiados para tentar centralizar o Império sob nós mesmos.;Êàê èìïåðàòîð Ñâÿùåííîé Ðèìñêîé èìïåðèè, ìû äîñòàòî÷íî ïðåñòèæíû, ÷òîáû ïîïûòàòüñÿ öåíòðàëèçîâàòü Èìïåðèþ ïîä ñîáîé.;Koska keisari, olemme arvostettuja tarpeeksi yrittää keskittää Imperiumi alle itse.;x
EVTNAME250001;Centralization of the HRE;Centralisation du Saint Empire Romain Germanique;Zentralisierung des Heiligen Römischen Reiches der Deutschen Nation;Centralizacja Œwiêtego Cesarstwa Rzymskiego;Centralización del Sacro Imperio Romano;La centralizzazione del Sacro Romano Impero;Központosítása Szent Római Birodalom;Centralizace HRE;Központosítása Szent Római Birodalom;Centralisatie van de Heilige Roomse Rijk;Centralização do Sacro Império Romano;Öåíòðàëèçàöèÿ ÑÐÈ;Keskittäminen Pyhällä roomalaisen keisarikunnan;x
EVTDESC250001;We will join the Thousand Years Reich!;Nous nous joindrons au Reich des Mille Ans!;Wir werden dem Tausendjährigen Reich beitreten!;Bêdziemy do³¹czyæ do tysiêcy lat Rzeszy!;¡Nos uniremos al Reich de los Mil Años!;Ci uniremo all'Impero di Mille Anni!;Mi fog csatlakozni a Thousand Years Reich!;Pøipojíme se k tisícileté øíši!;Mi fog csatlakozni a Thousand Years Reich!;We zullen toetreden tot de Thousand Years Reich!;Nós nos juntaremos ao Reich dos Mil Anos!;Ìû ïðèñîåäèíÿåìñÿ ê Òûñÿ÷åëåòíåìó Ðåéõó!;Me liittyy tuhatvuotinen Reich!;x
EVTOPTA250001;God save the Kaiser!;Dieu sauve le Kaiser!;Gott rette den Kaiser!;God save the Kaiser!;¡Dios salve al Kaiser!;Dio salvi l'Imperatore!;Isten óvja a Kaiser!;Bùh zachránit Kaiser!;Isten óvja a Kaiser!;God save the Kaiser!;Deus salve o Kaiser!;Áîã ñïàñåò êàéçåðà!;Jumala pelastaa Kaiser!;x
EVTNAME250002;Death of the HRE;Mort du Saint Empire Romain;Tod des Heiligen Römischen Reiches;Œmieræ Œwiêtego Cesarstwa Rzymskiego;Muerte del Sacro Imperio Romano;La morte del Sacro Romano Impero;Halál a Szent Római Birodalom;Smrt HRE;Halál a Szent Római Birodalom;De dood van het Heilige Roomse Rijk;Morte do Sacro Império Romano;Ñìåðòü ÑÐÈ;Death Pyhän Rooman valtakunnan;x
EVTDESC250002;The Empire was already a relic but the liberal revolutions made it meet its end!;L'Empire était déjà une relique, mais les révolutions libérales lui ont donné le coup de grâce.;Das Reich war schon ein Relikt, aber die liberalen Revolutionen brachten es seinem Ende entgegen!;Imperium ju¿ prze¿ytkiem ale liberalne rewolucje sprawi³y, ze spe³niaj¹ swój cel!;¡El Imperio ya era una reliquia, pero las revoluciones liberales lo hicieron llegar a su fin!;L'Impero era già una reliquia, ma le rivoluzioni liberali hanno dato il colpo di grazia!;A Birodalom már egy ereklye, hanem a liberális fordulat tette eleget a vége!;Øíše byla již relikvií, ale liberální revoluce pøinesly její konec!;A Birodalom már egy ereklye, hanem a liberális fordulat tette eleget a vége!;Het Empire was al een relikwie, maar de liberale revoluties maakte het voldoen aan zijn einde!;O Império já era uma relíquia, mas as revoluções liberais fizeram com que ele atingisse seu fim!;Èìïåðèÿ áûëà óæå ðåëèêâèåé, íî ëèáåðàëüíûå ðåâîëþöèè ïðèâåëè ê åå çàâåðøåíèþ!;Imperiumi oli jo jäänne mutta vapaiden kierrokset se täyttää sen pää!;x
